pais,coordinates
brasil,"[-49.21875, -11.86735091]"
brasil,"[-49.2167, -21.4667]"
brasil,"[-49.2167, -21.4667]"
brasil,"[-49.2152681, -16.4942347]"
brasil,"[-49.2075, -21.82972222]"
brasil,"[-49.2075, -21.82972222]"
brasil,"[-49.2075, -21.82972222]"
brasil,"[-49.2066598, -16.73061745]"
brasil,"[-49.1167, -15.3]"
brasil,"[-49.09565705, -5.34905376]"
brasil,"[-49.0612442, -22.3312903]"
brasil,"[-49.0611717, -22.3312292]"
brasil,"[-49.06055556, -22.31472222]"
brasil,"[-49.03861111, -25.39861111]"
brasil,"[-49.03647291, -22.37080586]"
brasil,"[-49.0167, -17.3]"
brasil,"[-48.96320395, -1.97144149]"
brasil,"[-48.96297455, -16.36646837]"
brasil,"[-48.95888889, -15.85194444]"
brasil,"[-48.9519, -16.3339]"
brasil,"[-48.95080385, -16.33175494]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.95, -16.9667]"
brasil,"[-48.944743, -16.332575]"
brasil,"[-48.94371085, -16.32953749]"
brasil,"[-48.93805938, -16.33289274]"
brasil,"[-48.89886447, -16.80747092]"
brasil,"[-48.876403, -23.9897964]"
brasil,"[-48.8, -16.1]"
brasil,"[-48.7833, -22.6]"
brasil,"[-48.6539, -27.025]"
brasil,"[-48.64337325, -27.59569707]"
brasil,"[-48.6333, -17.75]"
brasil,"[-48.63230109, -17.7456927]"
brasil,"[-48.6158, -26.1169]"
brasil,"[-48.57744, -20.54191]"
brasil,"[-48.5678, -20.5572]"
brasil,"[-48.5678, -20.5572]"
brasil,"[-48.5678, -20.5572]"
brasil,"[-48.55865212, -27.5955946]"
brasil,"[-48.5466, -27.593]"
brasil,"[-48.51083333, -25.67388889]"
brasil,"[-48.5024, -1.45502]"
brasil,"[-48.50015, -1.44993]"
brasil,"[-48.49922, -27.44013]"
brasil,"[-48.48923251, -1.46152151]"
brasil,"[-48.48866, -1.44425]"
brasil,"[-48.4875992, -20.9529264]"
brasil,"[-48.4875992, -20.9529264]"
brasil,"[-48.48436, -1.44248]"
brasil,"[-48.48266703, -1.45416351]"
brasil,"[-48.48037, -1.44569]"
brasil,"[-48.47767405, -1.4577738]"
brasil,"[-48.47738383, -1.45786889]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4772, -1.4511]"
brasil,"[-48.4703122, -1.429325]"
brasil,"[-48.4576452, -1.4028928]"
brasil,"[-48.445, -22.8858]"
brasil,"[-48.4400165, -1.3750557]"
brasil,"[-48.4375564, -22.8974064]"
brasil,"[-48.3999837, -1.3784441]"
brasil,"[-48.3719, -1.3658]"
brasil,"[-48.3719, -1.3658]"
brasil,"[-48.3719, -1.3658]"
brasil,"[-48.35354788, -21.63151081]"
brasil,"[-48.35, -10.2]"
brasil,"[-48.35, -10.2]"
brasil,"[-48.35, -10.2]"
brasil,"[-48.35, -10.2]"
brasil,"[-48.35, -10.2]"
brasil,"[-48.33952188, -10.18736271]"
brasil,"[-48.32998692, -10.1898875]"
brasil,"[-48.32724462, -10.17884523]"
brasil,"[-48.31850443, -21.27751047]"
brasil,"[-48.3167, -21.2667]"
brasil,"[-48.3, -18.9167]"
brasil,"[-48.3, -18.9167]"
brasil,"[-48.3, -18.9167]"
brasil,"[-48.3, -18.9167]"
brasil,"[-48.28128379, -10.33681725]"
brasil,"[-48.27419621, -10.3380426]"
brasil,"[-48.24951842, -2.42102941]"
brasil,"[-48.2316919, -18.9214403]"
brasil,"[-48.1761, -21.7947]"
brasil,"[-48.1761, -21.7947]"
brasil,"[-48.1761, -21.7947]"
brasil,"[-48.12365059, -22.27987424]"
brasil,"[-48.12154613, -15.81191698]"
brasil,"[-48.1124, -15.8221]"
brasil,"[-48.0833, -21.5833]"
brasil,"[-48.08065, -15.907793]"
brasil,"[-48.08065, -15.907793]"
brasil,"[-48.08065, -15.907793]"
brasil,"[-48.07721, -15.87434]"
brasil,"[-48.07504535, -15.86192772]"
brasil,"[-48.07089039, -16.01740492]"
brasil,"[-48.0702, -15.87268]"
brasil,"[-48.0667, -21.3667]"
brasil,"[-48.06654074, -15.80689353]"
brasil,"[-48.06420878, -16.01385393]"
brasil,"[-48.0603, -16.018]"
brasil,"[-48.05999783, -16.01314437]"
brasil,"[-48.0598603, -15.82912101]"
brasil,"[-48.05911603, -16.02656572]"
brasil,"[-48.05688376, -16.01998315]"
brasil,"[-48.05688376, -16.01998315]"
brasil,"[-48.056725, -15.997935]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
brasil,"[-48.05638889, -15.83333333]"
