pais,coordinates
uruguay,"{u'type': u'Point', u'coordinates': [-58.37131238, -34.67030353]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.368611, -34.6675]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3667, -34.9667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3667, -34.6167]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3667, -34.6]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.36289885, -34.59586509]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3608452, -34.5962986]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.359375, -30.75127778]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.35, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.35, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.34083557, -34.80761952]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3333, -34.6667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3333, -34.6667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.32212626, -31.81635114]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.32212626, -31.81635114]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2956, -33.1325]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2913201, -34.7864771]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.28468611, -33.99989167]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2844138, -34.77472311]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2833, -34.7]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.275329, -34.79125]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.275329, -34.79125]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.27449548, -34.73008672]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2558689, -34.7242862]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2555, -34.723]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2470158, -34.7306114]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.2344927, -32.4844354]}"
